league_name,count,stake_sum,profit_sum,profit_mean,roi
LOL - World Champs,154,154.0,76.0,0.4935064935064935,49.35064935064935
LCK,218,218.0,55.22,0.25330275229357796,25.330275229357795
LPL,294,294.0,31.499999999999996,0.10714285714285714,10.714285714285714
LOL - LCK,72,72.0,22.419999999999998,0.3113888888888889,31.13888888888889
LVP SL,89,89.0,19.3,0.21685393258426966,21.685393258426966
LCP,95,95.0,16.86,0.1774736842105263,17.74736842105263
LEC,110,110.0,13.459999999999999,0.12236363636363635,12.236363636363636
LCKC,202,202.0,11.63,0.05757425742574258,5.757425742574258
LOL - TCL Summer,22,22.0,10.290000000000001,0.46772727272727277,46.77272727272728
LOL - LTA North Split 3,26,26.0,10.280000000000001,0.39538461538461545,39.53846153846155
LOL - LCK Season Playoffs,34,34.0,10.26,0.30176470588235293,30.176470588235293
LOL - Rift Legends Summer Playoffs,14,14.0,8.82,0.63,63.0
LOL - LCK Season Play-In,18,18.0,8.0,0.4444444444444444,44.44444444444444
CD,18,18.0,7.659999999999999,0.4255555555555555,42.55555555555555
LOL - LCP Season Finals Playoffs,38,38.0,7.1000000000000005,0.18684210526315792,18.68421052631579
RL,30,30.0,6.61,0.22033333333333335,22.033333333333335
LOL - Asia Invitational,46,46.0,6.130000000000001,0.1332608695652174,13.32608695652174
LOL - LCP Season Finals,10,10.0,5.24,0.524,52.400000000000006
LOL - LPL Regional Finals,12,12.0,4.8,0.39999999999999997,40.0
LOL - EBL Season Finals,5,5.0,4.09,0.818,81.8
LOL - Rift Legends Summer,4,4.0,4.0,1.0,100.0
LOL - LEC Summer Playoffs,28,28.0,3.56,0.12714285714285714,12.714285714285714
LOL - LPLOL Summer Playoffs,6,6.0,3.1500000000000004,0.525,52.5
LOL - HLL Season Finals,6,6.0,3.15,0.525,52.5
LPLOL,6,6.0,3.15,0.525,52.5
LOL - NACL Split 2 Playoffs,8,8.0,2.98,0.3725,37.25
LOL - Superliga Final Four,14,14.0,2.9699999999999998,0.21214285714285713,21.21428571428571
LOL - LPL Split 3,56,56.0,2.63,0.046964285714285715,4.696428571428571
LIT,11,11.0,2.5799999999999996,0.2345454545454545,23.45454545454545
AL,10,10.0,2.4800000000000004,0.24800000000000005,24.800000000000004
LJL,5,5.0,2.32,0.46399999999999997,46.4
LOL - TCL Summer Playoffs,19,19.0,2.2700000000000005,0.11947368421052634,11.947368421052634
LOL - Superliga Summer Split Playoffs,8,8.0,2.2700000000000005,0.28375000000000006,28.375000000000007
LTA S,92,92.0,2.1599999999999997,0.023478260869565216,2.3478260869565215
LOL - LTA North Promotion,2,2.0,2.0,1.0,100.0
LOL - Asia Masters,6,6.0,2.0,0.3333333333333333,33.33333333333333
LOL - LCP Promotion,8,8.0,2.0,0.25,25.0
LOL - LTA Regional Championship,18,18.0,1.6600000000000004,0.09222222222222225,9.222222222222225
LOL - PCS Split 3 Playoffs,2,2.0,1.6600000000000001,0.8300000000000001,83.0
PCS,2,2.0,1.66,0.83,83.0
LOL - ROL Summer,4,4.0,1.4300000000000002,0.35750000000000004,35.75000000000001
LFL,96,96.0,1.3299999999999998,0.013854166666666666,1.3854166666666665
LOL - EMEA Masters Summer,180,180.0,1.1599999999999997,0.006444444444444443,0.6444444444444443
LOL - EBL Summer Playoffs,3,3.0,0.6599999999999999,0.21999999999999997,21.999999999999996
LOL - LIT Summer Playoffs,2,2.0,0.0,0.0,0.0
LOL - LTA South Promotion,6,6.0,0.0,0.0,0.0
LOL - Hitpoint Masters Summer Playoffs,6,6.0,-0.5100000000000001,-0.08500000000000002,-8.500000000000002
EBL,8,8.0,-0.6800000000000002,-0.08500000000000002,-8.500000000000002
LOL - Prime League Season Finals,4,4.0,-0.7800000000000001,-0.19500000000000003,-19.500000000000004
LOL - LCK CL Rounds 3-5,40,40.0,-0.79,-0.01975,-1.975
LOL - LTA South Split 3,30,30.0,-0.8199999999999996,-0.02733333333333332,-2.733333333333332
ROL,19,19.0,-0.9900000000000002,-0.052105263157894745,-5.210526315789474
LOL - NLC Summer Playoffs,12,12.0,-1.0200000000000002,-0.08500000000000002,-8.500000000000002
HLL,5,5.0,-1.34,-0.268,-26.8
LOL - ROL Season Finals,4,4.0,-2.17,-0.5425,-54.25
LTA N,52,52.0,-2.2499999999999996,-0.04326923076923076,-4.326923076923076
LOL - LRS Split 2 Playoffs,6,6.0,-2.34,-0.38999999999999996,-38.99999999999999
LOL - CD Split 2 Playoffs,6,6.0,-2.34,-0.38999999999999996,-38.99999999999999
LOL - LEC Summer,24,24.0,-3.6399999999999997,-0.15166666666666664,-15.166666666666664
LOL - LFL Summer Playoffs,20,20.0,-3.7699999999999996,-0.18849999999999997,-18.849999999999998
LOL - LPL Grand Finals,58,58.0,-4.36,-0.07517241379310345,-7.517241379310345
LOL - LPLOL Summer,18,18.0,-5.1899999999999995,-0.28833333333333333,-28.833333333333332
LOL - LFL Summer,22,22.0,-5.569999999999999,-0.2531818181818182,-25.318181818181817
NACL,15,15.0,-5.8500000000000005,-0.39,-39.0
VCS,46,46.0,-7.36,-0.16,-16.0
PRM,80,80.0,-7.93,-0.09912499999999999,-9.9125
TCL,74,74.0,-10.569999999999999,-0.14283783783783782,-14.283783783783782
LOL - LCK CL Season Playoffs,25,25.0,-11.38,-0.45520000000000005,-45.52
LOL - LCK CL Season Play-In,22,22.0,-13.1,-0.5954545454545455,-59.54545454545455
NLC,94,94.0,-22.55,-0.2398936170212766,-23.98936170212766
